"id";"NB";"COUT";"ANNEE"
105103;2;411,18;2017
105208;1;1370,91;2017
105304;1;313,97;2018
105305;1;493,31;2016
105397;1;1414,9;2018
105468;1;386,42;2018
105663;1;54,54;2018
105692;1;6296,48;2017
105844;1;1533,05;2017
106028;1;822,73;2017
106145;1;3083,73;2017
106345;1;1091,32;2017
106540;1;1064,13;2018
106542;1;1684,6;2018
106645;1;86,85;2017
106689;1;3424,74;2018
106751;1;2294,32;2016
106763;1;626,77;2016
107015;1;1034,45;2017
107473;1;424,04;2016
107479;1;7046,56;2016
107813;2;1156,3;2016
107887;1;2417,71;2016
108149;1;162,39;2018
108219;1;196,63;2017
108236;1;3212,12;2018
108531;1;1472,07;2018
108689;1;2108,02;2016
108712;1;1436,96;2017
109135;1;81,41;2016
109530;1;700,03;2016
109690;1;52,42;2016
109864;1;14205,68;2018
109896;1;258,12;2018
110211;1;938,36;2017
110237;1;182,5;2017
110264;1;75,66;2016
110345;1;1356,03;2016
110365;1;2020,76;2018
110373;1;1675,47;2017
110424;1;24,21;2016
110727;1;114,65;2017
110817;1;314,67;2016
111104;1;920,25;2017
111272;1;2710,19;2017
111320;1;431,69;2016
111607;1;76,08;2018
111762;1;277,42;2016
111940;1;229,93;2016
112120;1;2997,34;2016
112346;1;704,65;2017
112625;1;701,36;2018
112630;1;1087,38;2018
112687;1;1381,23;2017
113163;1;394,76;2018
113567;1;410,77;2017
113672;1;590,35;2017
113981;2;1924,7;2018
114207;1;1030;2018
114312;1;288,52;2016
114980;2;231,34;2017
115012;1;79,65;2018
115099;1;1282,89;2018
115106;1;231,02;2016
115173;1;5150,84;2017
115327;1;1455,58;2017
115723;1;2221,61;2016
115769;1;998,46;2018
116101;1;101,39;2018
116179;1;1301,97;2018
116183;1;276,22;2017
116251;1;561,87;2016
116545;1;24,52;2017
116909;1;457,42;2018
117628;1;2619,21;2017
117704;1;1277,6;2017
117869;1;24,21;2016
118257;1;8982,21;2017
118396;2;90,29;2018
118495;1;231,06;2018
118543;1;233,32;2018
